dataset,band,arity,arity_tier,modality_mix,n_candidates,n_accepted,accept_rate,median_test_cardinality
adult,0.4,1,primary,numeric,8,2,0.25,16281.0
adult,0.4,1,primary,categorical,8,5,0.625,6963.0
adult,0.4,1,primary,mixed,8,1,0.125,16281.0
adult,0.4,2,primary,numeric,8,5,0.625,6888.0
adult,0.4,2,primary,categorical,8,4,0.5,8074.0
adult,0.4,2,primary,mixed,8,6,0.75,6557.0
adult,0.4,3,primary,numeric,8,7,0.875,6524.0
adult,0.4,3,primary,categorical,8,5,0.625,7081.0
adult,0.4,3,primary,mixed,8,8,1.0,6020.0
adult,0.4,4,primary,numeric,8,8,1.0,6473.0
adult,0.4,4,primary,categorical,8,8,1.0,2848.0
adult,0.4,4,primary,mixed,8,8,1.0,5791.0
adult,0.4,5,primary,numeric,8,8,1.0,6462.0
adult,0.4,5,primary,categorical,8,8,1.0,2691.0
adult,0.4,5,primary,mixed,8,8,1.0,6136.0
adult,0.4,6,primary,numeric,8,8,1.0,6448.0
adult,0.4,6,primary,categorical,8,8,1.0,762.0
adult,0.4,6,primary,mixed,8,8,1.0,6032.0
adult,0.4,7,extension,numeric,0,0,,
adult,0.4,7,extension,categorical,8,7,0.875,723.0
adult,0.4,7,extension,mixed,8,8,1.0,3004.0
adult,0.4,8,extension,numeric,0,0,,
adult,0.4,8,extension,categorical,8,4,0.5,81.0
adult,0.4,8,extension,mixed,8,8,1.0,2501.0
adult,0.4,9,extension,numeric,0,0,,
adult,0.4,9,extension,categorical,8,6,0.75,511.0
adult,0.4,9,extension,mixed,8,7,0.875,514.0
adult,0.4,10,extension,numeric,0,0,,
adult,0.4,10,extension,categorical,0,0,,
adult,0.4,10,extension,mixed,8,7,0.875,3471.0
adult,0.25,1,primary,numeric,8,2,0.25,16281.0
adult,0.25,1,primary,categorical,8,7,0.875,4161.0
adult,0.25,1,primary,mixed,8,3,0.375,16281.0
adult,0.25,2,primary,numeric,8,2,0.25,16281.0
adult,0.25,2,primary,categorical,8,8,1.0,2176.0
adult,0.25,2,primary,mixed,8,8,1.0,4605.0
adult,0.25,3,primary,numeric,8,7,0.875,4121.0
adult,0.25,3,primary,categorical,8,8,1.0,1603.0
adult,0.25,3,primary,mixed,8,8,1.0,3599.0
adult,0.25,4,primary,numeric,8,8,1.0,4009.0
adult,0.25,4,primary,categorical,8,8,1.0,1955.0
adult,0.25,4,primary,mixed,8,8,1.0,4053.0
adult,0.25,5,primary,numeric,8,8,1.0,3999.0
adult,0.25,5,primary,categorical,8,8,1.0,911.0
adult,0.25,5,primary,mixed,8,8,1.0,3695.0
adult,0.25,6,primary,numeric,8,8,1.0,4056.0
adult,0.25,6,primary,categorical,8,8,1.0,120.0
adult,0.25,6,primary,mixed,8,8,1.0,3884.0
adult,0.25,7,extension,numeric,0,0,,
adult,0.25,7,extension,categorical,8,7,0.875,270.0
adult,0.25,7,extension,mixed,8,8,1.0,3426.0
adult,0.25,8,extension,numeric,0,0,,
adult,0.25,8,extension,categorical,8,8,1.0,174.0
adult,0.25,8,extension,mixed,8,7,0.875,1633.0
adult,0.25,9,extension,numeric,0,0,,
adult,0.25,9,extension,categorical,8,6,0.75,158.0
adult,0.25,9,extension,mixed,8,8,1.0,2660.0
adult,0.25,10,extension,numeric,0,0,,
adult,0.25,10,extension,categorical,0,0,,
adult,0.25,10,extension,mixed,8,8,1.0,1330.0
adult,0.1,1,primary,numeric,8,2,0.25,16281.0
adult,0.1,1,primary,categorical,8,7,0.875,1653.0
adult,0.1,1,primary,mixed,8,2,0.25,16281.0
adult,0.1,2,primary,numeric,8,3,0.375,16281.0
adult,0.1,2,primary,categorical,8,7,0.875,1219.0
adult,0.1,2,primary,mixed,8,8,1.0,1655.0
adult,0.1,3,primary,numeric,8,5,0.625,1687.0
adult,0.1,3,primary,categorical,8,8,1.0,1728.0
adult,0.1,3,primary,mixed,8,8,1.0,1544.0
adult,0.1,4,primary,numeric,8,7,0.875,1568.0
adult,0.1,4,primary,categorical,8,6,0.75,158.0
adult,0.1,4,primary,mixed,8,8,1.0,1612.0
adult,0.1,5,primary,numeric,8,8,1.0,1661.0
adult,0.1,5,primary,categorical,8,8,1.0,912.0
adult,0.1,5,primary,mixed,8,8,1.0,1076.0
adult,0.1,6,primary,numeric,8,8,1.0,1584.0
adult,0.1,6,primary,categorical,8,8,1.0,1314.0
adult,0.1,6,primary,mixed,8,7,0.875,1582.0
adult,0.1,7,extension,numeric,0,0,,
adult,0.1,7,extension,categorical,8,7,0.875,626.0
adult,0.1,7,extension,mixed,8,8,1.0,1608.0
adult,0.1,8,extension,numeric,0,0,,
adult,0.1,8,extension,categorical,8,5,0.625,99.0
adult,0.1,8,extension,mixed,8,8,1.0,1587.0
adult,0.1,9,extension,numeric,0,0,,
adult,0.1,9,extension,categorical,8,5,0.625,130.0
adult,0.1,9,extension,mixed,8,8,1.0,1561.0
adult,0.1,10,extension,numeric,0,0,,
adult,0.1,10,extension,categorical,0,0,,
adult,0.1,10,extension,mixed,8,8,1.0,1149.0
adult,0.05,1,primary,numeric,8,3,0.375,16281.0
adult,0.05,1,primary,categorical,8,7,0.875,860.0
adult,0.05,1,primary,mixed,8,0,0.0,16281.0
adult,0.05,2,primary,numeric,8,2,0.25,16281.0
adult,0.05,2,primary,categorical,8,8,1.0,757.0
adult,0.05,2,primary,mixed,8,8,1.0,948.0
adult,0.05,3,primary,numeric,8,5,0.625,883.0
adult,0.05,3,primary,categorical,8,8,1.0,445.0
adult,0.05,3,primary,mixed,8,8,1.0,626.0
adult,0.05,4,primary,numeric,8,8,1.0,795.0
adult,0.05,4,primary,categorical,8,7,0.875,523.0
adult,0.05,4,primary,mixed,8,8,1.0,808.0
adult,0.05,5,primary,numeric,8,8,1.0,828.0
adult,0.05,5,primary,categorical,8,7,0.875,295.0
adult,0.05,5,primary,mixed,8,7,0.875,708.0
adult,0.05,6,primary,numeric,8,8,1.0,774.0
adult,0.05,6,primary,categorical,8,7,0.875,618.0
adult,0.05,6,primary,mixed,8,8,1.0,789.0
adult,0.05,7,extension,numeric,0,0,,
adult,0.05,7,extension,categorical,8,7,0.875,582.0
adult,0.05,7,extension,mixed,8,7,0.875,769.0
adult,0.05,8,extension,numeric,0,0,,
adult,0.05,8,extension,categorical,8,6,0.75,52.0
adult,0.05,8,extension,mixed,8,8,1.0,800.0
adult,0.05,9,extension,numeric,0,0,,
adult,0.05,9,extension,categorical,8,5,0.625,388.0
adult,0.05,9,extension,mixed,8,8,1.0,774.0
adult,0.05,10,extension,numeric,0,0,,
adult,0.05,10,extension,categorical,0,0,,
adult,0.05,10,extension,mixed,8,8,1.0,782.0
adult,0.02,1,primary,numeric,8,3,0.375,16281.0
adult,0.02,1,primary,categorical,8,7,0.875,321.0
adult,0.02,1,primary,mixed,8,1,0.125,16281.0
adult,0.02,2,primary,numeric,8,3,0.375,16281.0
adult,0.02,2,primary,categorical,8,8,1.0,271.0
adult,0.02,2,primary,mixed,8,7,0.875,418.0
adult,0.02,3,primary,numeric,8,3,0.375,8347.0
adult,0.02,3,primary,categorical,8,8,1.0,195.0
adult,0.02,3,primary,mixed,8,7,0.875,318.0
adult,0.02,4,primary,numeric,8,8,1.0,324.0
adult,0.02,4,primary,categorical,8,6,0.75,277.0
adult,0.02,4,primary,mixed,8,7,0.875,305.0
adult,0.02,5,primary,numeric,8,8,1.0,322.0
adult,0.02,5,primary,categorical,8,5,0.625,69.0
adult,0.02,5,primary,mixed,8,8,1.0,307.0
adult,0.02,6,primary,numeric,8,8,1.0,322.0
adult,0.02,6,primary,categorical,8,5,0.625,216.0
adult,0.02,6,primary,mixed,8,5,0.625,164.0
adult,0.02,7,extension,numeric,0,0,,
adult,0.02,7,extension,categorical,8,8,1.0,378.0
adult,0.02,7,extension,mixed,8,3,0.375,19.0
adult,0.02,8,extension,numeric,0,0,,
adult,0.02,8,extension,categorical,8,7,0.875,155.0
adult,0.02,8,extension,mixed,8,6,0.75,277.0
adult,0.02,9,extension,numeric,0,0,,
adult,0.02,9,extension,categorical,8,8,1.0,172.0
adult,0.02,9,extension,mixed,8,6,0.75,99.0
adult,0.02,10,extension,numeric,0,0,,
adult,0.02,10,extension,categorical,0,0,,
adult,0.02,10,extension,mixed,8,8,1.0,325.0
adult,0.01,1,primary,numeric,8,1,0.125,16281.0
adult,0.01,1,primary,categorical,8,5,0.625,342.0
adult,0.01,1,primary,mixed,8,1,0.125,16281.0
adult,0.01,2,primary,numeric,8,2,0.25,16281.0
adult,0.01,2,primary,categorical,8,7,0.875,149.0
adult,0.01,2,primary,mixed,8,7,0.875,525.0
adult,0.01,3,primary,numeric,8,5,0.625,171.0
adult,0.01,3,primary,categorical,8,4,0.5,30.0
adult,0.01,3,primary,mixed,8,8,1.0,159.0
adult,0.01,4,primary,numeric,8,7,0.875,184.0
adult,0.01,4,primary,categorical,8,5,0.625,86.0
adult,0.01,4,primary,mixed,8,7,0.875,118.0
adult,0.01,5,primary,numeric,8,6,0.75,156.0
adult,0.01,5,primary,categorical,8,5,0.625,83.0
adult,0.01,5,primary,mixed,8,8,1.0,124.0
adult,0.01,6,primary,numeric,8,8,1.0,165.0
adult,0.01,6,primary,categorical,8,5,0.625,51.0
adult,0.01,6,primary,mixed,8,4,0.5,37.0
adult,0.01,7,extension,numeric,0,0,,
adult,0.01,7,extension,categorical,8,4,0.5,35.0
adult,0.01,7,extension,mixed,8,7,0.875,72.0
adult,0.01,8,extension,numeric,0,0,,
adult,0.01,8,extension,categorical,8,4,0.5,38.0
adult,0.01,8,extension,mixed,8,7,0.875,121.0
adult,0.01,9,extension,numeric,0,0,,
adult,0.01,9,extension,categorical,8,3,0.375,33.0
adult,0.01,9,extension,mixed,8,6,0.75,119.0
adult,0.01,10,extension,numeric,0,0,,
adult,0.01,10,extension,categorical,0,0,,
adult,0.01,10,extension,mixed,8,6,0.75,121.0
adult,0.005,1,primary,numeric,8,0,0.0,16281.0
adult,0.005,1,primary,categorical,8,2,0.25,12435.0
adult,0.005,1,primary,mixed,8,0,0.0,16281.0
adult,0.005,2,primary,numeric,8,3,0.375,16281.0
adult,0.005,2,primary,categorical,8,5,0.625,43.0
adult,0.005,2,primary,mixed,8,7,0.875,91.0
adult,0.005,3,primary,numeric,8,6,0.75,84.0
adult,0.005,3,primary,categorical,8,7,0.875,59.0
adult,0.005,3,primary,mixed,8,8,1.0,66.0
adult,0.005,4,primary,numeric,8,3,0.375,8179.0
adult,0.005,4,primary,categorical,8,4,0.5,41.0
adult,0.005,4,primary,mixed,8,8,1.0,56.0
adult,0.005,5,primary,numeric,8,8,1.0,72.0
adult,0.005,5,primary,categorical,8,6,0.75,52.0
adult,0.005,5,primary,mixed,8,4,0.5,32.0
adult,0.005,6,primary,numeric,8,8,1.0,90.0
adult,0.005,6,primary,categorical,8,6,0.75,41.0
adult,0.005,6,primary,mixed,8,6,0.75,57.0
adult,0.005,7,extension,numeric,0,0,,
adult,0.005,7,extension,categorical,8,5,0.625,45.0
adult,0.005,7,extension,mixed,8,4,0.5,14.0
adult,0.005,8,extension,numeric,0,0,,
adult,0.005,8,extension,categorical,8,4,0.5,42.0
adult,0.005,8,extension,mixed,8,7,0.875,63.0
adult,0.005,9,extension,numeric,0,0,,
adult,0.005,9,extension,categorical,8,2,0.25,0.0
adult,0.005,9,extension,mixed,8,6,0.75,45.0
adult,0.005,10,extension,numeric,0,0,,
adult,0.005,10,extension,categorical,0,0,,
adult,0.005,10,extension,mixed,8,6,0.75,55.0
