dataset,realized_band,arity_tier,modality_mix,n_accepted
adult,<0.5%,extension,categorical,32
adult,<0.5%,extension,mixed,37
adult,<0.5%,primary,categorical,49
adult,<0.5%,primary,mixed,37
adult,<0.5%,primary,numeric,18
adult,0.5-1%,extension,categorical,19
adult,0.5-1%,extension,mixed,29
adult,0.5-1%,primary,categorical,33
adult,0.5-1%,primary,mixed,27
adult,0.5-1%,primary,numeric,27
adult,1-2%,extension,categorical,15
adult,1-2%,extension,mixed,21
adult,1-2%,primary,categorical,33
adult,1-2%,primary,mixed,34
adult,1-2%,primary,numeric,34
adult,2-5%,extension,categorical,24
adult,2-5%,extension,mixed,32
adult,2-5%,primary,categorical,46
adult,2-5%,primary,mixed,28
adult,2-5%,primary,numeric,39
adult,5-10%,extension,categorical,19
adult,5-10%,extension,mixed,25
adult,5-10%,primary,categorical,38
adult,5-10%,primary,mixed,44
adult,5-10%,primary,numeric,32
adult,10-25%,extension,categorical,7
adult,10-25%,extension,mixed,40
adult,10-25%,primary,categorical,38
adult,10-25%,primary,mixed,41
adult,10-25%,primary,numeric,22
adult,25-50%,extension,categorical,2
adult,25-50%,extension,mixed,12
adult,25-50%,primary,categorical,36
adult,25-50%,primary,mixed,54
adult,25-50%,primary,numeric,58
