dataset,band,arity,arity_tier,modality_mix,n_candidates,n_accepted,accept_rate,median_test_cardinality
beijing,0.4,1,primary,numeric,8,1,0.125,4176.0
beijing,0.4,1,primary,categorical,8,8,1.0,1441.0
beijing,0.4,1,primary,mixed,8,3,0.375,4176.0
beijing,0.4,2,primary,numeric,8,6,0.75,1687.0
beijing,0.4,2,primary,categorical,8,8,1.0,107.0
beijing,0.4,2,primary,mixed,8,8,1.0,839.0
beijing,0.4,3,primary,numeric,8,8,1.0,1679.0
beijing,0.4,3,primary,categorical,8,7,0.875,48.0
beijing,0.4,3,primary,mixed,8,8,1.0,137.0
beijing,0.4,4,primary,numeric,8,8,1.0,1697.0
beijing,0.4,4,primary,categorical,8,7,0.875,6.0
beijing,0.4,4,primary,mixed,8,8,1.0,177.0
beijing,0.4,5,primary,numeric,8,8,1.0,1692.0
beijing,0.4,5,primary,categorical,8,1,0.125,0.0
beijing,0.4,5,primary,mixed,8,8,1.0,39.0
beijing,0.4,6,primary,numeric,8,8,1.0,1682.0
beijing,0.4,6,primary,categorical,0,0,,
beijing,0.4,6,primary,mixed,8,8,1.0,51.0
beijing,0.4,7,extension,numeric,8,8,1.0,1695.0
beijing,0.4,7,extension,categorical,0,0,,
beijing,0.4,7,extension,mixed,8,6,0.75,51.0
beijing,0.4,8,extension,numeric,0,0,,
beijing,0.4,8,extension,categorical,0,0,,
beijing,0.4,8,extension,mixed,8,4,0.5,4.0
beijing,0.4,9,extension,numeric,0,0,,
beijing,0.4,9,extension,categorical,0,0,,
beijing,0.4,9,extension,mixed,8,2,0.25,1.0
beijing,0.4,10,extension,numeric,0,0,,
beijing,0.4,10,extension,categorical,0,0,,
beijing,0.4,10,extension,mixed,8,2,0.25,1.0
beijing,0.25,1,primary,numeric,8,3,0.375,4176.0
beijing,0.25,1,primary,categorical,8,8,1.0,848.0
beijing,0.25,1,primary,mixed,8,3,0.375,4176.0
beijing,0.25,2,primary,numeric,8,4,0.5,2637.0
beijing,0.25,2,primary,categorical,8,8,1.0,127.0
beijing,0.25,2,primary,mixed,8,8,1.0,1008.0
beijing,0.25,3,primary,numeric,8,8,1.0,1047.0
beijing,0.25,3,primary,categorical,8,6,0.75,77.0
beijing,0.25,3,primary,mixed,8,8,1.0,236.0
beijing,0.25,4,primary,numeric,8,8,1.0,1071.0
beijing,0.25,4,primary,categorical,8,5,0.625,22.0
beijing,0.25,4,primary,mixed,8,8,1.0,122.0
beijing,0.25,5,primary,numeric,8,8,1.0,1066.0
beijing,0.25,5,primary,categorical,8,1,0.125,1.0
beijing,0.25,5,primary,mixed,8,6,0.75,18.0
beijing,0.25,6,primary,numeric,8,8,1.0,1059.0
beijing,0.25,6,primary,categorical,0,0,,
beijing,0.25,6,primary,mixed,8,6,0.75,9.0
beijing,0.25,7,extension,numeric,8,8,1.0,1060.0
beijing,0.25,7,extension,categorical,0,0,,
beijing,0.25,7,extension,mixed,8,6,0.75,8.0
beijing,0.25,8,extension,numeric,0,0,,
beijing,0.25,8,extension,categorical,0,0,,
beijing,0.25,8,extension,mixed,8,4,0.5,5.0
beijing,0.25,9,extension,numeric,0,0,,
beijing,0.25,9,extension,categorical,0,0,,
beijing,0.25,9,extension,mixed,8,3,0.375,2.0
