dataset,realized_band,arity_tier,modality_mix,n_accepted
beijing,<0.5%,extension,mixed,41
beijing,<0.5%,extension,numeric,2
beijing,<0.5%,primary,categorical,49
beijing,<0.5%,primary,mixed,46
beijing,<0.5%,primary,numeric,16
beijing,0.5-1%,extension,mixed,25
beijing,0.5-1%,extension,numeric,11
beijing,0.5-1%,primary,categorical,35
beijing,0.5-1%,primary,mixed,50
beijing,0.5-1%,primary,numeric,35
beijing,1-2%,extension,mixed,12
beijing,1-2%,extension,numeric,6
beijing,1-2%,primary,categorical,23
beijing,1-2%,primary,mixed,30
beijing,1-2%,primary,numeric,31
beijing,2-5%,extension,mixed,15
beijing,2-5%,extension,numeric,10
beijing,2-5%,primary,categorical,40
beijing,2-5%,primary,mixed,69
beijing,2-5%,primary,numeric,33
beijing,5-10%,extension,mixed,4
beijing,5-10%,extension,numeric,5
beijing,5-10%,primary,categorical,26
beijing,5-10%,primary,mixed,26
beijing,5-10%,primary,numeric,38
beijing,10-25%,extension,mixed,1
beijing,10-25%,extension,numeric,10
beijing,10-25%,primary,categorical,21
beijing,10-25%,primary,mixed,26
beijing,10-25%,primary,numeric,37
beijing,25-50%,extension,numeric,12
beijing,25-50%,primary,categorical,12
beijing,25-50%,primary,mixed,18
beijing,25-50%,primary,numeric,62
