dataset,band,arity,arity_tier,modality_mix,n_candidates,n_accepted,accept_rate,median_test_cardinality
default,0.4,1,primary,numeric,8,7,0.875,1182
default,0.4,1,primary,categorical,8,2,0.25,1584
default,0.4,1,primary,mixed,8,6,0.75,1193
default,0.4,2,primary,numeric,8,8,1.0,1181
default,0.4,2,primary,categorical,8,8,1.0,1312
default,0.4,2,primary,mixed,8,8,1.0,1204
default,0.4,3,primary,numeric,8,8,1.0,1202
default,0.4,3,primary,categorical,8,8,1.0,921
default,0.4,3,primary,mixed,8,8,1.0,1043
default,0.4,4,primary,numeric,8,8,1.0,1177
default,0.4,4,primary,categorical,8,8,1.0,1194
default,0.4,4,primary,mixed,8,8,1.0,1183
default,0.4,5,primary,numeric,8,8,1.0,1182
default,0.4,5,primary,categorical,8,8,1.0,653
default,0.4,5,primary,mixed,8,8,1.0,1076
default,0.4,6,primary,numeric,8,8,1.0,1166
default,0.4,6,primary,categorical,8,8,1.0,649
default,0.4,6,primary,mixed,8,8,1.0,1059
default,0.4,7,extension,numeric,8,8,1.0,1151
default,0.4,7,extension,categorical,8,8,1.0,396
default,0.4,7,extension,mixed,8,8,1.0,834
default,0.4,8,extension,numeric,8,8,1.0,1166
default,0.4,8,extension,categorical,8,8,1.0,322
default,0.4,8,extension,mixed,8,8,1.0,771
default,0.4,9,extension,numeric,8,8,1.0,1181
default,0.4,9,extension,categorical,8,8,1.0,513
default,0.4,9,extension,mixed,8,8,1.0,884
default,0.4,10,extension,numeric,8,8,1.0,1178
default,0.4,10,extension,categorical,8,8,1.0,330
default,0.4,10,extension,mixed,8,8,1.0,688
default,0.25,1,primary,numeric,8,5,0.625,750
default,0.25,1,primary,categorical,8,5,0.625,973
default,0.25,1,primary,mixed,8,5,0.625,761
default,0.25,2,primary,numeric,8,8,1.0,737
default,0.25,2,primary,categorical,8,8,1.0,537
default,0.25,2,primary,mixed,8,7,0.875,841
default,0.25,3,primary,numeric,8,8,1.0,734
default,0.25,3,primary,categorical,8,8,1.0,710
default,0.25,3,primary,mixed,8,8,1.0,740
default,0.25,4,primary,numeric,8,8,1.0,749
default,0.25,4,primary,categorical,8,8,1.0,756
default,0.25,4,primary,mixed,8,8,1.0,739
default,0.25,5,primary,numeric,8,8,1.0,728
default,0.25,5,primary,categorical,8,8,1.0,720
default,0.25,5,primary,mixed,8,8,1.0,730
default,0.25,6,primary,numeric,8,8,1.0,733
default,0.25,6,primary,categorical,8,8,1.0,538
default,0.25,6,primary,mixed,8,8,1.0,737
default,0.25,7,extension,numeric,8,8,1.0,726
default,0.25,7,extension,categorical,8,8,1.0,597
default,0.25,7,extension,mixed,8,8,1.0,717
default,0.25,8,extension,numeric,8,8,1.0,734
default,0.25,8,extension,categorical,8,8,1.0,317
default,0.25,8,extension,mixed,8,8,1.0,760
default,0.25,9,extension,numeric,8,8,1.0,720
default,0.25,9,extension,categorical,8,8,1.0,308
default,0.25,9,extension,mixed,8,8,1.0,726
default,0.25,10,extension,numeric,8,8,1.0,723
default,0.25,10,extension,categorical,8,8,1.0,359
default,0.25,10,extension,mixed,8,8,1.0,691
default,0.1,1,primary,numeric,8,5,0.625,299
default,0.1,1,primary,categorical,8,8,1.0,336
default,0.1,1,primary,mixed,8,7,0.875,306
default,0.1,2,primary,numeric,8,7,0.875,296
default,0.1,2,primary,categorical,8,8,1.0,264
default,0.1,2,primary,mixed,8,8,1.0,300
default,0.1,3,primary,numeric,8,8,1.0,291
default,0.1,3,primary,categorical,8,8,1.0,191
default,0.1,3,primary,mixed,8,8,1.0,172
default,0.1,4,primary,numeric,8,8,1.0,289
default,0.1,4,primary,categorical,8,8,1.0,188
default,0.1,4,primary,mixed,8,8,1.0,289
default,0.1,5,primary,numeric,8,8,1.0,289
default,0.1,5,primary,categorical,8,8,1.0,233
default,0.1,5,primary,mixed,8,8,1.0,299
default,0.1,6,primary,numeric,8,8,1.0,294
default,0.1,6,primary,categorical,8,8,1.0,256
default,0.1,6,primary,mixed,8,8,1.0,290
