dataset,realized_band,arity_tier,modality_mix,n_accepted
default,<0.5%,extension,categorical,30
default,<0.5%,extension,mixed,11
default,<0.5%,extension,numeric,8
default,<0.5%,primary,categorical,36
default,<0.5%,primary,mixed,23
default,<0.5%,primary,numeric,7
default,0.5-1%,extension,categorical,26
default,0.5-1%,extension,mixed,35
default,0.5-1%,extension,numeric,31
default,0.5-1%,primary,categorical,48
default,0.5-1%,primary,mixed,35
default,0.5-1%,primary,numeric,46
default,1-2%,extension,categorical,18
default,1-2%,extension,mixed,33
default,1-2%,extension,numeric,31
default,1-2%,primary,categorical,32
default,1-2%,primary,mixed,48
default,1-2%,primary,numeric,42
default,2-5%,extension,categorical,23
default,2-5%,extension,mixed,29
default,2-5%,extension,numeric,33
default,2-5%,primary,categorical,25
default,2-5%,primary,mixed,34
default,2-5%,primary,numeric,42
default,5-10%,extension,categorical,42
default,5-10%,extension,mixed,28
default,5-10%,extension,numeric,33
default,5-10%,primary,categorical,33
default,5-10%,primary,mixed,40
default,5-10%,primary,numeric,51
default,10-25%,extension,categorical,55
default,10-25%,extension,mixed,55
default,10-25%,extension,numeric,33
default,10-25%,primary,categorical,73
default,10-25%,primary,mixed,58
default,10-25%,primary,numeric,45
default,25-50%,extension,categorical,5
default,25-50%,extension,mixed,28
default,25-50%,extension,numeric,55
default,25-50%,primary,categorical,46
default,25-50%,primary,mixed,70
default,25-50%,primary,numeric,78
