dataset,band,arity,arity_tier,modality_mix,n_candidates,n_accepted,accept_rate,median_test_cardinality
diabetes,0.4,1,primary,numeric,8,1,0.125,20354.0
diabetes,0.4,1,primary,categorical,8,6,0.75,1523.0
diabetes,0.4,1,primary,mixed,8,1,0.125,20354.0
diabetes,0.4,2,primary,numeric,8,4,0.5,14559.0
diabetes,0.4,2,primary,categorical,8,5,0.625,4426.0
diabetes,0.4,2,primary,mixed,8,5,0.625,8732.0
diabetes,0.4,3,primary,numeric,8,7,0.875,8033.0
diabetes,0.4,3,primary,categorical,8,5,0.625,8010.0
diabetes,0.4,3,primary,mixed,8,5,0.625,7569.0
diabetes,0.4,4,primary,numeric,8,8,1.0,8020.0
diabetes,0.4,4,primary,categorical,8,5,0.625,6367.0
diabetes,0.4,4,primary,mixed,8,7,0.875,8114.0
diabetes,0.4,5,primary,numeric,8,8,1.0,8290.0
diabetes,0.4,5,primary,categorical,8,8,1.0,3433.0
diabetes,0.4,5,primary,mixed,8,7,0.875,7842.0
diabetes,0.4,6,primary,numeric,8,8,1.0,8191.0
diabetes,0.4,6,primary,categorical,8,8,1.0,6035.0
diabetes,0.4,6,primary,mixed,8,8,1.0,8085.0
diabetes,0.4,7,extension,numeric,8,8,1.0,8210.0
diabetes,0.4,7,extension,categorical,8,8,1.0,811.0
diabetes,0.4,7,extension,mixed,8,8,1.0,8130.0
diabetes,0.4,8,extension,numeric,8,8,1.0,8302.0
diabetes,0.4,8,extension,categorical,8,8,1.0,2172.0
diabetes,0.4,8,extension,mixed,8,8,1.0,6808.0
diabetes,0.4,9,extension,numeric,8,8,1.0,8192.0
diabetes,0.4,9,extension,categorical,8,6,0.75,1825.0
diabetes,0.4,9,extension,mixed,8,8,1.0,3294.0
diabetes,0.4,10,extension,numeric,0,0,,
diabetes,0.4,10,extension,categorical,8,7,0.875,871.0
diabetes,0.4,10,extension,mixed,8,8,1.0,5815.0
diabetes,0.25,1,primary,numeric,8,0,0.0,20354.0
diabetes,0.25,1,primary,categorical,8,6,0.75,2993.0
diabetes,0.25,1,primary,mixed,8,1,0.125,20354.0
diabetes,0.25,2,primary,numeric,8,2,0.25,20354.0
diabetes,0.25,2,primary,categorical,8,7,0.875,883.0
diabetes,0.25,2,primary,mixed,8,6,0.75,1412.0
diabetes,0.25,3,primary,numeric,8,6,0.75,5287.0
diabetes,0.25,3,primary,categorical,8,8,1.0,1841.0
diabetes,0.25,3,primary,mixed,8,6,0.75,4871.0
diabetes,0.25,4,primary,numeric,8,8,1.0,5049.0
diabetes,0.25,4,primary,categorical,8,7,0.875,6937.0
diabetes,0.25,4,primary,mixed,8,6,0.75,3881.0
diabetes,0.25,5,primary,numeric,8,8,1.0,4935.0
diabetes,0.25,5,primary,categorical,8,6,0.75,5214.0
diabetes,0.25,5,primary,mixed,8,7,0.875,5031.0
diabetes,0.25,6,primary,numeric,8,8,1.0,5086.0
diabetes,0.25,6,primary,categorical,8,8,1.0,4605.0
diabetes,0.25,6,primary,mixed,8,8,1.0,5072.0
diabetes,0.25,7,extension,numeric,8,8,1.0,5175.0
diabetes,0.25,7,extension,categorical,8,6,0.75,325.0
diabetes,0.25,7,extension,mixed,8,8,1.0,4916.0
diabetes,0.25,8,extension,numeric,8,8,1.0,5140.0
diabetes,0.25,8,extension,categorical,8,7,0.875,1719.0
diabetes,0.25,8,extension,mixed,8,8,1.0,3684.0
diabetes,0.25,9,extension,numeric,8,8,1.0,5152.0
diabetes,0.25,9,extension,categorical,8,8,1.0,4569.0
diabetes,0.25,9,extension,mixed,8,8,1.0,4805.0
diabetes,0.25,10,extension,numeric,0,0,,
diabetes,0.25,10,extension,categorical,8,8,1.0,1024.0
diabetes,0.25,10,extension,mixed,8,8,1.0,4941.0
diabetes,0.1,1,primary,numeric,8,2,0.25,20354.0
diabetes,0.1,1,primary,categorical,8,6,0.75,2303.0
diabetes,0.1,1,primary,mixed,8,1,0.125,20354.0
diabetes,0.1,2,primary,numeric,8,3,0.375,20354.0
diabetes,0.1,2,primary,categorical,8,3,0.375,814.0
diabetes,0.1,2,primary,mixed,8,5,0.625,1378.0
diabetes,0.1,3,primary,numeric,8,4,0.5,10313.0
diabetes,0.1,3,primary,categorical,8,5,0.625,328.0
diabetes,0.1,3,primary,mixed,8,4,0.5,23.0
diabetes,0.1,4,primary,numeric,8,7,0.875,2165.0
diabetes,0.1,4,primary,categorical,8,6,0.75,182.0
diabetes,0.1,4,primary,mixed,8,5,0.625,1645.0
diabetes,0.1,5,primary,numeric,8,8,1.0,2086.0
diabetes,0.1,5,primary,categorical,8,6,0.75,462.0
diabetes,0.1,5,primary,mixed,8,3,0.375,6.0
diabetes,0.1,6,primary,numeric,8,8,1.0,2033.0
diabetes,0.1,6,primary,categorical,8,6,0.75,935.0
diabetes,0.1,6,primary,mixed,8,7,0.875,1535.0
diabetes,0.1,7,extension,numeric,8,8,1.0,1997.0
diabetes,0.1,7,extension,categorical,8,8,1.0,541.0
diabetes,0.1,7,extension,mixed,8,7,0.875,1971.0
diabetes,0.1,8,extension,numeric,8,8,1.0,1992.0
diabetes,0.1,8,extension,categorical,8,5,0.625,1062.0
diabetes,0.1,8,extension,mixed,8,8,1.0,1523.0
diabetes,0.1,9,extension,numeric,8,8,1.0,2037.0
diabetes,0.1,9,extension,categorical,8,8,1.0,852.0
diabetes,0.1,9,extension,mixed,8,8,1.0,2382.0
diabetes,0.1,10,extension,numeric,0,0,,
diabetes,0.1,10,extension,categorical,8,8,1.0,664.0
diabetes,0.1,10,extension,mixed,8,7,0.875,2062.0
diabetes,0.05,1,primary,numeric,8,1,0.125,20354.0
diabetes,0.05,1,primary,categorical,8,6,0.75,1145.0
diabetes,0.05,1,primary,mixed,8,1,0.125,20354.0
diabetes,0.05,2,primary,numeric,8,2,0.25,20353.0
diabetes,0.05,2,primary,categorical,8,5,0.625,123.0
diabetes,0.05,2,primary,mixed,8,5,0.625,869.0
diabetes,0.05,3,primary,numeric,8,2,0.25,20354.0
diabetes,0.05,3,primary,categorical,8,7,0.875,523.0
diabetes,0.05,3,primary,mixed,8,7,0.875,1045.0
diabetes,0.05,4,primary,numeric,8,7,0.875,978.0
diabetes,0.05,4,primary,categorical,8,8,1.0,374.0
diabetes,0.05,4,primary,mixed,8,7,0.875,1059.0
diabetes,0.05,5,primary,numeric,8,6,0.75,1051.0
diabetes,0.05,5,primary,categorical,8,4,0.5,19.0
diabetes,0.05,5,primary,mixed,8,8,1.0,578.0
diabetes,0.05,6,primary,numeric,8,8,1.0,994.0
diabetes,0.05,6,primary,categorical,8,3,0.375,2.0
diabetes,0.05,6,primary,mixed,8,5,0.625,38.0
diabetes,0.05,7,extension,numeric,8,8,1.0,999.0
diabetes,0.05,7,extension,categorical,8,7,0.875,398.0
diabetes,0.05,7,extension,mixed,8,5,0.625,70.0
diabetes,0.05,8,extension,numeric,8,8,1.0,1023.0
diabetes,0.05,8,extension,categorical,8,6,0.75,261.0
diabetes,0.05,8,extension,mixed,8,5,0.625,283.0
diabetes,0.05,9,extension,numeric,8,8,1.0,1034.0
diabetes,0.05,9,extension,categorical,8,8,1.0,728.0
diabetes,0.05,9,extension,mixed,8,7,0.875,1036.0
diabetes,0.05,10,extension,numeric,0,0,,
diabetes,0.05,10,extension,categorical,8,7,0.875,510.0
diabetes,0.05,10,extension,mixed,8,6,0.75,459.0
diabetes,0.02,1,primary,numeric,8,2,0.25,20354.0
diabetes,0.02,1,primary,categorical,8,7,0.875,177.0
diabetes,0.02,1,primary,mixed,8,0,0.0,20354.0
diabetes,0.02,2,primary,numeric,8,2,0.25,20353.0
diabetes,0.02,2,primary,categorical,8,7,0.875,282.0
diabetes,0.02,2,primary,mixed,8,4,0.5,131.0
diabetes,0.02,3,primary,numeric,8,3,0.375,20353.0
diabetes,0.02,3,primary,categorical,8,4,0.5,59.0
diabetes,0.02,3,primary,mixed,8,4,0.5,176.0
diabetes,0.02,4,primary,numeric,8,2,0.25,20353.0
diabetes,0.02,4,primary,categorical,8,4,0.5,32.0
diabetes,0.02,4,primary,mixed,8,4,0.5,104.0
diabetes,0.02,5,primary,numeric,8,7,0.875,975.0
diabetes,0.02,5,primary,categorical,8,4,0.5,56.0
diabetes,0.02,5,primary,mixed,8,7,0.875,459.0
