dataset,realized_band,arity_tier,modality_mix,n_accepted
diabetes,<0.5%,extension,categorical,26
diabetes,<0.5%,extension,mixed,22
diabetes,<0.5%,extension,numeric,8
diabetes,<0.5%,primary,categorical,38
diabetes,<0.5%,primary,mixed,27
diabetes,<0.5%,primary,numeric,5
diabetes,0.5-1%,extension,categorical,16
diabetes,0.5-1%,extension,mixed,12
diabetes,0.5-1%,extension,numeric,24
diabetes,0.5-1%,primary,categorical,29
diabetes,0.5-1%,primary,mixed,13
diabetes,0.5-1%,primary,numeric,14
diabetes,1-2%,extension,categorical,29
diabetes,1-2%,extension,mixed,13
diabetes,1-2%,extension,numeric,23
diabetes,1-2%,primary,categorical,20
diabetes,1-2%,primary,mixed,22
diabetes,1-2%,primary,numeric,22
diabetes,2-5%,extension,categorical,35
diabetes,2-5%,extension,mixed,27
diabetes,2-5%,extension,numeric,29
diabetes,2-5%,primary,categorical,35
diabetes,2-5%,primary,mixed,29
diabetes,2-5%,primary,numeric,26
diabetes,5-10%,extension,categorical,17
diabetes,5-10%,extension,mixed,24
diabetes,5-10%,extension,numeric,24
diabetes,5-10%,primary,categorical,30
diabetes,5-10%,primary,mixed,36
diabetes,5-10%,primary,numeric,26
diabetes,10-25%,extension,categorical,21
diabetes,10-25%,extension,mixed,34
diabetes,10-25%,extension,numeric,20
diabetes,10-25%,primary,categorical,21
diabetes,10-25%,primary,mixed,20
diabetes,10-25%,primary,numeric,37
diabetes,25-50%,extension,categorical,11
diabetes,25-50%,extension,mixed,31
diabetes,25-50%,extension,numeric,38
diabetes,25-50%,primary,categorical,41
diabetes,25-50%,primary,mixed,42
diabetes,25-50%,primary,numeric,53
