dataset,band,arity,arity_tier,modality_mix,n_candidates,n_accepted,accept_rate,median_test_cardinality
fb-comments,0.4,1,primary,numeric,8,8,1.0,7842
fb-comments,0.4,1,primary,categorical,8,5,0.625,3007
fb-comments,0.4,1,primary,mixed,8,5,0.625,7915
fb-comments,0.4,2,primary,numeric,8,7,0.875,7880
fb-comments,0.4,2,primary,categorical,8,8,1.0,2869
fb-comments,0.4,2,primary,mixed,8,6,0.75,8528
fb-comments,0.4,3,primary,numeric,8,8,1.0,7962
fb-comments,0.4,3,primary,categorical,8,0,0.0,12341
fb-comments,0.4,3,primary,mixed,8,5,0.625,7526
fb-comments,0.4,4,primary,numeric,8,8,1.0,7915
fb-comments,0.4,4,primary,categorical,8,5,0.625,9714
fb-comments,0.4,4,primary,mixed,8,8,1.0,7855
fb-comments,0.4,5,primary,numeric,8,7,0.875,7887
fb-comments,0.4,5,primary,categorical,8,8,1.0,7801
fb-comments,0.4,5,primary,mixed,8,7,0.875,7956
fb-comments,0.4,6,primary,numeric,8,8,1.0,7918
fb-comments,0.4,6,primary,categorical,8,7,0.875,6995
fb-comments,0.4,6,primary,mixed,8,7,0.875,7859
fb-comments,0.4,7,extension,numeric,8,8,1.0,7959
fb-comments,0.4,7,extension,categorical,8,8,1.0,7239
fb-comments,0.4,7,extension,mixed,8,8,1.0,7904
fb-comments,0.4,8,extension,numeric,8,8,1.0,7877
fb-comments,0.4,8,extension,categorical,8,8,1.0,5013
fb-comments,0.4,8,extension,mixed,8,8,1.0,8010
fb-comments,0.4,9,extension,numeric,8,8,1.0,7947
fb-comments,0.4,9,extension,categorical,8,8,1.0,4115
fb-comments,0.4,9,extension,mixed,8,7,0.875,7794
fb-comments,0.4,10,extension,numeric,8,8,1.0,7914
fb-comments,0.4,10,extension,categorical,8,8,1.0,1392
fb-comments,0.4,10,extension,mixed,8,8,1.0,7928
fb-comments,0.25,1,primary,numeric,8,4,0.5,12363
fb-comments,0.25,1,primary,categorical,8,6,0.75,2997
fb-comments,0.25,1,primary,mixed,8,3,0.375,19720
fb-comments,0.25,2,primary,numeric,8,7,0.875,4927
fb-comments,0.25,2,primary,categorical,8,6,0.75,2768
fb-comments,0.25,2,primary,mixed,8,7,0.875,4902
fb-comments,0.25,3,primary,numeric,8,7,0.875,4962
fb-comments,0.25,3,primary,categorical,8,6,0.75,1903
fb-comments,0.25,3,primary,mixed,8,6,0.75,1973
fb-comments,0.25,4,primary,numeric,8,8,1.0,4950
fb-comments,0.25,4,primary,categorical,8,8,1.0,5178
