dataset,realized_band,arity_tier,modality_mix,n_accepted
fb-comments,<0.5%,extension,mixed,8
fb-comments,<0.5%,extension,numeric,20
fb-comments,<0.5%,primary,categorical,2
fb-comments,<0.5%,primary,mixed,17
fb-comments,<0.5%,primary,numeric,23
fb-comments,0.5-1%,extension,categorical,2
fb-comments,0.5-1%,extension,mixed,11
fb-comments,0.5-1%,extension,numeric,31
fb-comments,0.5-1%,primary,categorical,1
fb-comments,0.5-1%,primary,mixed,22
fb-comments,0.5-1%,primary,numeric,45
fb-comments,1-2%,extension,categorical,3
fb-comments,1-2%,extension,mixed,18
fb-comments,1-2%,extension,numeric,29
fb-comments,1-2%,primary,categorical,6
fb-comments,1-2%,primary,mixed,23
fb-comments,1-2%,primary,numeric,43
fb-comments,2-5%,extension,categorical,21
fb-comments,2-5%,extension,mixed,19
fb-comments,2-5%,extension,numeric,32
fb-comments,2-5%,primary,categorical,20
fb-comments,2-5%,primary,mixed,35
fb-comments,2-5%,primary,numeric,36
fb-comments,5-10%,extension,categorical,44
fb-comments,5-10%,extension,mixed,29
fb-comments,5-10%,extension,numeric,27
fb-comments,5-10%,primary,categorical,32
fb-comments,5-10%,primary,mixed,35
fb-comments,5-10%,primary,numeric,49
fb-comments,10-25%,extension,categorical,32
fb-comments,10-25%,extension,mixed,47
fb-comments,10-25%,extension,numeric,38
fb-comments,10-25%,primary,categorical,85
fb-comments,10-25%,primary,mixed,56
fb-comments,10-25%,primary,numeric,41
fb-comments,25-50%,extension,categorical,21
fb-comments,25-50%,extension,mixed,35
fb-comments,25-50%,extension,numeric,47
fb-comments,25-50%,primary,categorical,26
fb-comments,25-50%,primary,mixed,52
fb-comments,25-50%,primary,numeric,68
