dataset,band,arity,arity_tier,modality_mix,n_candidates,n_accepted,accept_rate,median_test_cardinality
magic,0.4,1,primary,numeric,8,8,1.0,792.0
magic,0.4,1,primary,categorical,8,6,0.75,676.0
magic,0.4,1,primary,mixed,8,8,1.0,768.0
magic,0.4,2,primary,numeric,8,8,1.0,755.0
magic,0.4,2,primary,categorical,0,0,,
magic,0.4,2,primary,mixed,8,8,1.0,754.0
magic,0.4,3,primary,numeric,8,8,1.0,760.0
magic,0.4,3,primary,categorical,0,0,,
magic,0.4,3,primary,mixed,0,0,,
magic,0.4,4,primary,numeric,8,8,1.0,762.0
magic,0.4,4,primary,categorical,0,0,,
magic,0.4,4,primary,mixed,0,0,,
magic,0.4,5,primary,numeric,8,8,1.0,754.0
magic,0.4,5,primary,categorical,0,0,,
magic,0.4,5,primary,mixed,0,0,,
magic,0.4,6,primary,numeric,8,8,1.0,772.0
magic,0.4,6,primary,categorical,0,0,,
magic,0.4,6,primary,mixed,0,0,,
magic,0.4,7,extension,numeric,8,8,1.0,756.0
magic,0.4,7,extension,categorical,0,0,,
magic,0.4,7,extension,mixed,0,0,,
magic,0.4,8,extension,numeric,8,8,1.0,754.0
magic,0.4,8,extension,categorical,0,0,,
magic,0.4,8,extension,mixed,0,0,,
magic,0.4,9,extension,numeric,8,8,1.0,755.0
magic,0.4,9,extension,categorical,0,0,,
magic,0.4,9,extension,mixed,0,0,,
magic,0.4,10,extension,numeric,8,8,1.0,767.0
magic,0.4,10,extension,categorical,0,0,,
magic,0.4,10,extension,mixed,0,0,,
magic,0.25,1,primary,numeric,8,8,1.0,480.0
magic,0.25,1,primary,categorical,8,6,0.75,676.0
magic,0.25,1,primary,mixed,8,8,1.0,479.0
magic,0.25,2,primary,numeric,8,8,1.0,471.0
magic,0.25,2,primary,categorical,0,0,,
magic,0.25,2,primary,mixed,8,8,1.0,476.0
magic,0.25,3,primary,numeric,8,8,1.0,472.0
magic,0.25,3,primary,categorical,0,0,,
magic,0.25,3,primary,mixed,0,0,,
magic,0.25,4,primary,numeric,8,8,1.0,469.0
