dataset,realized_band,arity_tier,modality_mix,n_accepted
magic,<0.5%,extension,numeric,32
magic,<0.5%,primary,mixed,13
magic,<0.5%,primary,numeric,46
magic,0.5-1%,extension,numeric,31
magic,0.5-1%,primary,mixed,16
magic,0.5-1%,primary,numeric,46
magic,1-2%,extension,numeric,31
magic,1-2%,primary,mixed,18
magic,1-2%,primary,numeric,48
magic,2-5%,extension,numeric,31
magic,2-5%,primary,mixed,15
magic,2-5%,primary,numeric,51
magic,5-10%,extension,numeric,8
magic,5-10%,primary,mixed,3
magic,5-10%,primary,numeric,7
magic,10-25%,extension,numeric,58
magic,10-25%,primary,mixed,27
magic,10-25%,primary,numeric,83
magic,25-50%,extension,numeric,33
magic,25-50%,primary,categorical,40
magic,25-50%,primary,mixed,20
magic,25-50%,primary,numeric,55
