dataset,band,arity,arity_tier,modality_mix,n_candidates,n_accepted,accept_rate,median_test_cardinality
news,0.4,1,primary,numeric,8,6,0.75,1607.0
news,0.4,1,primary,categorical,8,8,1.0,859.0
news,0.4,1,primary,mixed,8,3,0.375,3965.0
news,0.4,2,primary,numeric,8,8,1.0,1581.0
news,0.4,2,primary,categorical,8,8,1.0,736.0
news,0.4,2,primary,mixed,8,8,1.0,752.0
news,0.4,3,primary,numeric,8,8,1.0,1590.0
news,0.4,3,primary,categorical,0,0,,
news,0.4,3,primary,mixed,8,8,1.0,438.0
news,0.4,4,primary,numeric,8,8,1.0,1618.0
news,0.4,4,primary,categorical,0,0,,
news,0.4,4,primary,mixed,8,8,1.0,143.0
news,0.4,5,primary,numeric,8,8,1.0,1581.0
news,0.4,5,primary,categorical,0,0,,
news,0.4,5,primary,mixed,0,0,,
news,0.4,6,primary,numeric,8,8,1.0,1607.0
news,0.4,6,primary,categorical,0,0,,
news,0.4,6,primary,mixed,0,0,,
news,0.4,7,extension,numeric,8,8,1.0,1598.0
news,0.4,7,extension,categorical,0,0,,
news,0.4,7,extension,mixed,0,0,,
news,0.4,8,extension,numeric,8,8,1.0,1609.0
news,0.4,8,extension,categorical,0,0,,
news,0.4,8,extension,mixed,0,0,,
news,0.4,9,extension,numeric,8,8,1.0,1580.0
news,0.4,9,extension,categorical,0,0,,
news,0.4,9,extension,mixed,0,0,,
news,0.4,10,extension,numeric,8,8,1.0,1606.0
news,0.4,10,extension,categorical,0,0,,
news,0.4,10,extension,mixed,0,0,,
news,0.25,1,primary,numeric,8,5,0.625,1006.0
news,0.25,1,primary,categorical,8,8,1.0,797.0
news,0.25,1,primary,mixed,8,5,0.625,1044.0
news,0.25,2,primary,numeric,8,6,0.75,1054.0
news,0.25,2,primary,categorical,8,8,1.0,439.0
news,0.25,2,primary,mixed,8,8,1.0,827.0
news,0.25,3,primary,numeric,8,8,1.0,1006.0
news,0.25,3,primary,categorical,0,0,,
news,0.25,3,primary,mixed,8,8,1.0,143.0
news,0.25,4,primary,numeric,8,8,1.0,1019.0
news,0.25,4,primary,categorical,0,0,,
news,0.25,4,primary,mixed,8,8,1.0,424.0
news,0.25,5,primary,numeric,8,8,1.0,987.0
news,0.25,5,primary,categorical,0,0,,
news,0.25,5,primary,mixed,0,0,,
news,0.25,6,primary,numeric,8,8,1.0,999.0
news,0.25,6,primary,categorical,0,0,,
news,0.25,6,primary,mixed,0,0,,
news,0.25,7,extension,numeric,8,8,1.0,1007.0
news,0.25,7,extension,categorical,0,0,,
news,0.25,7,extension,mixed,0,0,,
news,0.25,8,extension,numeric,8,8,1.0,1000.0
news,0.25,8,extension,categorical,0,0,,
news,0.25,8,extension,mixed,0,0,,
news,0.25,9,extension,numeric,8,8,1.0,1003.0
news,0.25,9,extension,categorical,0,0,,
news,0.25,9,extension,mixed,0,0,,
news,0.25,10,extension,numeric,8,8,1.0,997.0
news,0.25,10,extension,categorical,0,0,,
news,0.25,10,extension,mixed,0,0,,
news,0.1,1,primary,numeric,8,7,0.875,406.0
news,0.1,1,primary,categorical,8,8,1.0,287.0
news,0.1,1,primary,mixed,8,3,0.375,3965.0
news,0.1,2,primary,numeric,8,7,0.875,399.0
news,0.1,2,primary,categorical,8,8,1.0,143.0
news,0.1,2,primary,mixed,8,8,1.0,404.0
news,0.1,3,primary,numeric,8,8,1.0,392.0
news,0.1,3,primary,categorical,0,0,,
news,0.1,3,primary,mixed,8,8,1.0,142.0
news,0.1,4,primary,numeric,8,8,1.0,402.0
news,0.1,4,primary,categorical,0,0,,
news,0.1,4,primary,mixed,8,8,1.0,266.0
news,0.1,5,primary,numeric,8,8,1.0,395.0
news,0.1,5,primary,categorical,0,0,,
news,0.1,5,primary,mixed,0,0,,
news,0.1,6,primary,numeric,8,8,1.0,389.0
news,0.1,6,primary,categorical,0,0,,
news,0.1,6,primary,mixed,0,0,,
news,0.1,7,extension,numeric,8,8,1.0,409.0
news,0.1,7,extension,categorical,0,0,,
news,0.1,7,extension,mixed,0,0,,
news,0.1,8,extension,numeric,8,8,1.0,394.0
news,0.1,8,extension,categorical,0,0,,
news,0.1,8,extension,mixed,0,0,,
news,0.1,9,extension,numeric,8,8,1.0,414.0
news,0.1,9,extension,categorical,0,0,,
news,0.1,9,extension,mixed,0,0,,
news,0.1,10,extension,numeric,8,8,1.0,394.0
news,0.1,10,extension,categorical,0,0,,
news,0.1,10,extension,mixed,0,0,,
news,0.05,1,primary,numeric,8,6,0.75,208.0
news,0.05,1,primary,categorical,8,8,1.0,485.0
news,0.05,1,primary,mixed,8,3,0.375,3965.0
news,0.05,2,primary,numeric,8,7,0.875,208.0
news,0.05,2,primary,categorical,8,8,1.0,143.0
news,0.05,2,primary,mixed,8,8,1.0,228.0
news,0.05,3,primary,numeric,8,8,1.0,193.0
news,0.05,3,primary,categorical,0,0,,
news,0.05,3,primary,mixed,8,8,1.0,188.0
news,0.05,4,primary,numeric,8,8,1.0,195.0
news,0.05,4,primary,categorical,0,0,,
news,0.05,4,primary,mixed,8,8,1.0,178.0
news,0.05,5,primary,numeric,8,8,1.0,200.0
news,0.05,5,primary,categorical,0,0,,
news,0.05,5,primary,mixed,0,0,,
news,0.05,6,primary,numeric,8,8,1.0,191.0
news,0.05,6,primary,categorical,0,0,,
news,0.05,6,primary,mixed,0,0,,
news,0.05,7,extension,numeric,8,8,1.0,186.0
news,0.05,7,extension,categorical,0,0,,
news,0.05,7,extension,mixed,0,0,,
news,0.05,8,extension,numeric,8,8,1.0,206.0
news,0.05,8,extension,categorical,0,0,,
news,0.05,8,extension,mixed,0,0,,
news,0.05,9,extension,numeric,8,8,1.0,204.0
news,0.05,9,extension,categorical,0,0,,
news,0.05,9,extension,mixed,0,0,,
news,0.05,10,extension,numeric,8,8,1.0,210.0
news,0.05,10,extension,categorical,0,0,,
news,0.05,10,extension,mixed,0,0,,
news,0.02,1,primary,numeric,8,7,0.875,81.0
news,0.02,1,primary,categorical,8,8,1.0,234.0
news,0.02,1,primary,mixed,8,2,0.25,3965.0
news,0.02,2,primary,numeric,8,7,0.875,84.0
news,0.02,2,primary,categorical,8,8,1.0,79.0
news,0.02,2,primary,mixed,8,8,1.0,228.0
news,0.02,3,primary,numeric,8,8,1.0,82.0
news,0.02,3,primary,categorical,0,0,,
news,0.02,3,primary,mixed,8,8,1.0,61.0
news,0.02,4,primary,numeric,8,7,0.875,80.0
news,0.02,4,primary,categorical,0,0,,
news,0.02,4,primary,mixed,8,8,1.0,77.0
news,0.02,5,primary,numeric,8,8,1.0,83.0
news,0.02,5,primary,categorical,0,0,,
news,0.02,5,primary,mixed,0,0,,
news,0.02,6,primary,numeric,8,8,1.0,76.0
news,0.02,6,primary,categorical,0,0,,
news,0.02,6,primary,mixed,0,0,,
news,0.02,7,extension,numeric,8,8,1.0,73.0
news,0.02,7,extension,categorical,0,0,,
news,0.02,7,extension,mixed,0,0,,
news,0.02,8,extension,numeric,8,8,1.0,80.0
news,0.02,8,extension,categorical,0,0,,
news,0.02,8,extension,mixed,0,0,,
news,0.02,9,extension,numeric,8,8,1.0,80.0
news,0.02,9,extension,categorical,0,0,,
news,0.02,9,extension,mixed,0,0,,
news,0.02,10,extension,numeric,8,8,1.0,70.0
news,0.02,10,extension,categorical,0,0,,
news,0.02,10,extension,mixed,0,0,,
news,0.01,1,primary,numeric,8,5,0.625,54.0
news,0.01,1,primary,categorical,8,8,1.0,234.0
news,0.01,1,primary,mixed,8,5,0.625,44.0
news,0.01,2,primary,numeric,8,8,1.0,34.0
news,0.01,2,primary,categorical,8,8,1.0,44.0
news,0.01,2,primary,mixed,8,8,1.0,228.0
news,0.01,3,primary,numeric,8,8,1.0,48.0
news,0.01,3,primary,categorical,0,0,,
news,0.01,3,primary,mixed,8,8,1.0,44.0
news,0.01,4,primary,numeric,8,7,0.875,45.0
news,0.01,4,primary,categorical,0,0,,
news,0.01,4,primary,mixed,8,8,1.0,39.0
news,0.01,5,primary,numeric,8,8,1.0,39.0
news,0.01,5,primary,categorical,0,0,,
news,0.01,5,primary,mixed,0,0,,
news,0.01,6,primary,numeric,8,8,1.0,40.0
news,0.01,6,primary,categorical,0,0,,
news,0.01,6,primary,mixed,0,0,,
news,0.01,7,extension,numeric,8,8,1.0,41.0
news,0.01,7,extension,categorical,0,0,,
news,0.01,7,extension,mixed,0,0,,
news,0.01,8,extension,numeric,8,8,1.0,45.0
news,0.01,8,extension,categorical,0,0,,
news,0.01,8,extension,mixed,0,0,,
news,0.01,9,extension,numeric,8,8,1.0,36.0
news,0.01,9,extension,categorical,0,0,,
news,0.01,9,extension,mixed,0,0,,
news,0.01,10,extension,numeric,8,8,1.0,43.0
news,0.01,10,extension,categorical,0,0,,
news,0.01,10,extension,mixed,0,0,,
news,0.005,1,primary,numeric,8,3,0.375,3965.0
news,0.005,1,primary,categorical,8,8,1.0,231.0
news,0.005,1,primary,mixed,8,3,0.375,3965.0
news,0.005,2,primary,numeric,8,6,0.75,20.0
news,0.005,2,primary,categorical,8,8,1.0,14.0
news,0.005,2,primary,mixed,8,8,1.0,234.0
news,0.005,3,primary,numeric,8,8,1.0,19.0
news,0.005,3,primary,categorical,0,0,,
news,0.005,3,primary,mixed,8,8,1.0,20.0
news,0.005,4,primary,numeric,8,8,1.0,16.0
news,0.005,4,primary,categorical,0,0,,
news,0.005,4,primary,mixed,8,8,1.0,17.0
news,0.005,5,primary,numeric,8,8,1.0,17.0
news,0.005,5,primary,categorical,0,0,,
news,0.005,5,primary,mixed,0,0,,
news,0.005,6,primary,numeric,8,8,1.0,17.0
news,0.005,6,primary,categorical,0,0,,
news,0.005,6,primary,mixed,0,0,,
news,0.005,7,extension,numeric,8,8,1.0,18.0
news,0.005,7,extension,categorical,0,0,,
news,0.005,7,extension,mixed,0,0,,
news,0.005,8,extension,numeric,8,8,1.0,20.0
news,0.005,8,extension,categorical,0,0,,
news,0.005,8,extension,mixed,0,0,,
news,0.005,9,extension,numeric,8,8,1.0,20.0
news,0.005,9,extension,categorical,0,0,,
news,0.005,9,extension,mixed,0,0,,
news,0.005,10,extension,numeric,8,8,1.0,17.0
news,0.005,10,extension,categorical,0,0,,
news,0.005,10,extension,mixed,0,0,,
