dataset,realized_band,arity_tier,modality_mix,n_accepted
news,<0.5%,extension,numeric,5
news,<0.5%,primary,categorical,5
news,<0.5%,primary,mixed,10
news,<0.5%,primary,numeric,9
news,0.5-1%,extension,numeric,51
news,0.5-1%,primary,categorical,5
news,0.5-1%,primary,mixed,19
news,0.5-1%,primary,numeric,69
news,1-2%,extension,numeric,33
news,1-2%,primary,categorical,8
news,1-2%,primary,mixed,29
news,1-2%,primary,numeric,39
news,2-5%,extension,numeric,19
news,2-5%,primary,categorical,26
news,2-5%,primary,mixed,46
news,2-5%,primary,numeric,27
news,5-10%,extension,numeric,41
news,5-10%,primary,categorical,28
news,5-10%,primary,mixed,39
news,5-10%,primary,numeric,65
news,10-25%,extension,numeric,22
news,10-25%,primary,categorical,39
news,10-25%,primary,mixed,37
news,10-25%,primary,numeric,28
news,25-50%,extension,numeric,53
news,25-50%,primary,categorical,1
news,25-50%,primary,mixed,12
news,25-50%,primary,numeric,73
