dataset,band,arity,arity_tier,modality_mix,n_candidates,n_accepted,accept_rate,median_test_cardinality
shoppers,0.4,1,primary,numeric,8,2,0.25,1233.0
shoppers,0.4,1,primary,categorical,8,5,0.625,328.0
shoppers,0.4,1,primary,mixed,8,3,0.375,1233.0
shoppers,0.4,2,primary,numeric,8,6,0.75,507.0
shoppers,0.4,2,primary,categorical,8,8,1.0,383.0
shoppers,0.4,2,primary,mixed,8,7,0.875,481.0
shoppers,0.4,3,primary,numeric,8,7,0.875,463.0
shoppers,0.4,3,primary,categorical,8,7,0.875,378.0
shoppers,0.4,3,primary,mixed,8,7,0.875,350.0
shoppers,0.4,4,primary,numeric,8,6,0.75,487.0
shoppers,0.4,4,primary,categorical,8,8,1.0,298.0
shoppers,0.4,4,primary,mixed,8,8,1.0,403.0
shoppers,0.4,5,primary,numeric,8,8,1.0,466.0
shoppers,0.4,5,primary,categorical,8,8,1.0,120.0
shoppers,0.4,5,primary,mixed,8,8,1.0,382.0
shoppers,0.4,6,primary,numeric,8,8,1.0,467.0
shoppers,0.4,6,primary,categorical,8,8,1.0,127.0
shoppers,0.4,6,primary,mixed,8,8,1.0,303.0
shoppers,0.4,7,extension,numeric,8,8,1.0,466.0
shoppers,0.4,7,extension,categorical,8,8,1.0,63.0
shoppers,0.4,7,extension,mixed,8,8,1.0,336.0
shoppers,0.4,8,extension,numeric,8,8,1.0,471.0
shoppers,0.4,8,extension,categorical,8,8,1.0,38.0
shoppers,0.4,8,extension,mixed,8,8,1.0,228.0
shoppers,0.4,9,extension,numeric,8,7,0.875,465.0
shoppers,0.4,9,extension,categorical,0,0,,
shoppers,0.4,9,extension,mixed,8,8,1.0,199.0
shoppers,0.4,10,extension,numeric,8,8,1.0,467.0
shoppers,0.4,10,extension,categorical,0,0,,
shoppers,0.4,10,extension,mixed,8,8,1.0,195.0
shoppers,0.25,1,primary,numeric,8,1,0.125,1233.0
shoppers,0.25,1,primary,categorical,8,6,0.75,299.0
shoppers,0.25,1,primary,mixed,8,3,0.375,1233.0
shoppers,0.25,2,primary,numeric,8,5,0.625,308.0
shoppers,0.25,2,primary,categorical,8,8,1.0,285.0
shoppers,0.25,2,primary,mixed,8,7,0.875,286.0
shoppers,0.25,3,primary,numeric,8,7,0.875,305.0
shoppers,0.25,3,primary,categorical,8,7,0.875,292.0
shoppers,0.25,3,primary,mixed,8,8,1.0,295.0
shoppers,0.25,4,primary,numeric,8,8,1.0,304.0
shoppers,0.25,4,primary,categorical,8,8,1.0,200.0
shoppers,0.25,4,primary,mixed,8,8,1.0,357.0
shoppers,0.25,5,primary,numeric,8,8,1.0,298.0
shoppers,0.25,5,primary,categorical,8,8,1.0,92.0
shoppers,0.25,5,primary,mixed,8,8,1.0,279.0
shoppers,0.25,6,primary,numeric,8,8,1.0,288.0
shoppers,0.25,6,primary,categorical,8,8,1.0,165.0
shoppers,0.25,6,primary,mixed,8,8,1.0,310.0
shoppers,0.25,7,extension,numeric,8,8,1.0,297.0
shoppers,0.25,7,extension,categorical,8,8,1.0,44.0
shoppers,0.25,7,extension,mixed,8,8,1.0,287.0
shoppers,0.25,8,extension,numeric,8,8,1.0,287.0
shoppers,0.25,8,extension,categorical,8,8,1.0,33.0
shoppers,0.25,8,extension,mixed,8,8,1.0,115.0
shoppers,0.25,9,extension,numeric,8,8,1.0,288.0
shoppers,0.25,9,extension,categorical,0,0,,
shoppers,0.25,9,extension,mixed,8,8,1.0,162.0
shoppers,0.25,10,extension,numeric,8,8,1.0,279.0
shoppers,0.25,10,extension,categorical,0,0,,
shoppers,0.25,10,extension,mixed,8,8,1.0,166.0
shoppers,0.1,1,primary,numeric,8,5,0.625,136.0
shoppers,0.1,1,primary,categorical,8,7,0.875,172.0
shoppers,0.1,1,primary,mixed,8,2,0.25,1233.0
shoppers,0.1,2,primary,numeric,8,1,0.125,1233.0
shoppers,0.1,2,primary,categorical,8,8,1.0,101.0
shoppers,0.1,2,primary,mixed,8,7,0.875,213.0
shoppers,0.1,3,primary,numeric,8,5,0.625,123.0
shoppers,0.1,3,primary,categorical,8,7,0.875,80.0
shoppers,0.1,3,primary,mixed,8,7,0.875,117.0
shoppers,0.1,4,primary,numeric,8,8,1.0,129.0
shoppers,0.1,4,primary,categorical,8,8,1.0,54.0
shoppers,0.1,4,primary,mixed,8,8,1.0,121.0
shoppers,0.1,5,primary,numeric,8,8,1.0,109.0
shoppers,0.1,5,primary,categorical,8,8,1.0,126.0
shoppers,0.1,5,primary,mixed,8,8,1.0,125.0
shoppers,0.1,6,primary,numeric,8,7,0.875,112.0
shoppers,0.1,6,primary,categorical,8,8,1.0,76.0
shoppers,0.1,6,primary,mixed,8,8,1.0,121.0
shoppers,0.1,7,extension,numeric,8,8,1.0,115.0
shoppers,0.1,7,extension,categorical,8,8,1.0,52.0
shoppers,0.1,7,extension,mixed,8,8,1.0,102.0
shoppers,0.1,8,extension,numeric,8,8,1.0,114.0
shoppers,0.1,8,extension,categorical,8,8,1.0,55.0
shoppers,0.1,8,extension,mixed,8,8,1.0,116.0
shoppers,0.1,9,extension,numeric,8,8,1.0,118.0
shoppers,0.1,9,extension,categorical,0,0,,
shoppers,0.1,9,extension,mixed,8,8,1.0,115.0
shoppers,0.1,10,extension,numeric,8,8,1.0,116.0
shoppers,0.1,10,extension,categorical,0,0,,
shoppers,0.1,10,extension,mixed,8,8,1.0,62.0
shoppers,0.05,1,primary,numeric,8,2,0.25,1233.0
shoppers,0.05,1,primary,categorical,8,6,0.75,240.0
shoppers,0.05,1,primary,mixed,8,2,0.25,1233.0
shoppers,0.05,2,primary,numeric,8,4,0.5,653.0
shoppers,0.05,2,primary,categorical,8,8,1.0,50.0
shoppers,0.05,2,primary,mixed,8,8,1.0,60.0
shoppers,0.05,3,primary,numeric,8,6,0.75,65.0
shoppers,0.05,3,primary,categorical,8,8,1.0,52.0
shoppers,0.05,3,primary,mixed,8,8,1.0,61.0
shoppers,0.05,4,primary,numeric,8,8,1.0,57.0
shoppers,0.05,4,primary,categorical,8,8,1.0,64.0
shoppers,0.05,4,primary,mixed,8,7,0.875,68.0
shoppers,0.05,5,primary,numeric,8,7,0.875,75.0
shoppers,0.05,5,primary,categorical,8,8,1.0,51.0
shoppers,0.05,5,primary,mixed,8,7,0.875,41.0
shoppers,0.05,6,primary,numeric,8,8,1.0,61.0
shoppers,0.05,6,primary,categorical,8,8,1.0,68.0
shoppers,0.05,6,primary,mixed,8,8,1.0,56.0
shoppers,0.05,7,extension,numeric,8,8,1.0,53.0
shoppers,0.05,7,extension,categorical,8,8,1.0,54.0
shoppers,0.05,7,extension,mixed,8,8,1.0,63.0
shoppers,0.05,8,extension,numeric,8,8,1.0,56.0
shoppers,0.05,8,extension,categorical,8,8,1.0,31.0
shoppers,0.05,8,extension,mixed,8,8,1.0,58.0
shoppers,0.05,9,extension,numeric,8,8,1.0,54.0
shoppers,0.05,9,extension,categorical,0,0,,
shoppers,0.05,9,extension,mixed,8,8,1.0,56.0
shoppers,0.05,10,extension,numeric,8,8,1.0,55.0
shoppers,0.05,10,extension,categorical,0,0,,
shoppers,0.05,10,extension,mixed,8,8,1.0,57.0
shoppers,0.02,1,primary,numeric,8,1,0.125,1233.0
shoppers,0.02,1,primary,categorical,8,7,0.875,111.0
shoppers,0.02,1,primary,mixed,8,3,0.375,1233.0
shoppers,0.02,2,primary,numeric,8,4,0.5,633.0
shoppers,0.02,2,primary,categorical,8,7,0.875,32.0
shoppers,0.02,2,primary,mixed,8,4,0.5,569.0
shoppers,0.02,3,primary,numeric,8,6,0.75,28.0
shoppers,0.02,3,primary,categorical,8,7,0.875,27.0
shoppers,0.02,3,primary,mixed,8,6,0.75,25.0
shoppers,0.02,4,primary,numeric,8,7,0.875,21.0
shoppers,0.02,4,primary,categorical,8,7,0.875,23.0
shoppers,0.02,4,primary,mixed,8,8,1.0,16.0
shoppers,0.02,5,primary,numeric,8,7,0.875,27.0
shoppers,0.02,5,primary,categorical,8,7,0.875,8.0
shoppers,0.02,5,primary,mixed,8,8,1.0,19.0
shoppers,0.02,6,primary,numeric,8,8,1.0,23.0
shoppers,0.02,6,primary,categorical,8,6,0.75,14.0
shoppers,0.02,6,primary,mixed,8,8,1.0,19.0
shoppers,0.02,7,extension,numeric,8,8,1.0,25.0
shoppers,0.02,7,extension,categorical,8,8,1.0,21.0
shoppers,0.02,7,extension,mixed,8,7,0.875,17.0
shoppers,0.02,8,extension,numeric,8,8,1.0,25.0
shoppers,0.02,8,extension,categorical,8,8,1.0,20.0
shoppers,0.02,8,extension,mixed,8,8,1.0,22.0
shoppers,0.02,9,extension,numeric,8,8,1.0,24.0
shoppers,0.02,9,extension,categorical,0,0,,
shoppers,0.02,9,extension,mixed,8,8,1.0,24.0
shoppers,0.02,10,extension,numeric,8,8,1.0,20.0
shoppers,0.02,10,extension,categorical,0,0,,
shoppers,0.02,10,extension,mixed,8,8,1.0,22.0
shoppers,0.01,1,primary,numeric,8,2,0.25,1233.0
shoppers,0.01,1,primary,categorical,8,7,0.875,179.0
shoppers,0.01,1,primary,mixed,8,3,0.375,621.0
shoppers,0.01,2,primary,numeric,8,3,0.375,628.0
shoppers,0.01,2,primary,categorical,8,7,0.875,10.0
shoppers,0.01,2,primary,mixed,8,8,1.0,13.0
shoppers,0.01,3,primary,numeric,8,6,0.75,11.0
shoppers,0.01,3,primary,categorical,8,8,1.0,14.0
shoppers,0.01,3,primary,mixed,8,8,1.0,12.0
shoppers,0.01,4,primary,numeric,8,6,0.75,16.0
shoppers,0.01,4,primary,categorical,8,4,0.5,3.0
shoppers,0.01,4,primary,mixed,8,7,0.875,11.0
shoppers,0.01,5,primary,numeric,8,7,0.875,14.0
shoppers,0.01,5,primary,categorical,8,5,0.625,11.0
shoppers,0.01,5,primary,mixed,8,7,0.875,11.0
shoppers,0.01,6,primary,numeric,8,7,0.875,12.0
shoppers,0.01,6,primary,categorical,8,8,1.0,14.0
shoppers,0.01,6,primary,mixed,8,8,1.0,12.0
shoppers,0.01,7,extension,numeric,8,8,1.0,12.0
shoppers,0.01,7,extension,categorical,8,7,0.875,9.0
shoppers,0.01,7,extension,mixed,8,8,1.0,11.0
shoppers,0.01,8,extension,numeric,8,8,1.0,11.0
shoppers,0.01,8,extension,categorical,8,8,1.0,9.0
shoppers,0.01,8,extension,mixed,8,8,1.0,10.0
shoppers,0.01,9,extension,numeric,8,7,0.875,11.0
shoppers,0.01,9,extension,categorical,0,0,,
shoppers,0.01,9,extension,mixed,8,7,0.875,10.0
shoppers,0.01,10,extension,numeric,8,7,0.875,11.0
shoppers,0.01,10,extension,categorical,0,0,,
shoppers,0.01,10,extension,mixed,8,5,0.625,10.0
shoppers,0.005,1,primary,numeric,8,3,0.375,1233.0
shoppers,0.005,1,primary,categorical,8,5,0.625,240.0
shoppers,0.005,1,primary,mixed,8,1,0.125,1233.0
shoppers,0.005,2,primary,numeric,8,4,0.5,15.0
shoppers,0.005,2,primary,categorical,8,6,0.75,5.0
shoppers,0.005,2,primary,mixed,8,5,0.625,9.0
shoppers,0.005,3,primary,numeric,8,1,0.125,619.0
shoppers,0.005,3,primary,categorical,8,2,0.25,7.0
shoppers,0.005,3,primary,mixed,8,3,0.375,2.0
shoppers,0.005,4,primary,numeric,8,3,0.375,621.0
shoppers,0.005,4,primary,categorical,8,4,0.5,6.0
shoppers,0.005,4,primary,mixed,8,4,0.5,6.0
shoppers,0.005,5,primary,numeric,8,4,0.5,8.0
shoppers,0.005,5,primary,categorical,8,4,0.5,5.0
shoppers,0.005,5,primary,mixed,8,5,0.625,6.0
shoppers,0.005,6,primary,numeric,8,6,0.75,5.0
shoppers,0.005,6,primary,categorical,8,1,0.125,6.0
shoppers,0.005,6,primary,mixed,8,4,0.5,5.0
shoppers,0.005,7,extension,numeric,8,4,0.5,6.0
shoppers,0.005,7,extension,categorical,8,2,0.25,3.0
shoppers,0.005,7,extension,mixed,8,4,0.5,3.0
shoppers,0.005,8,extension,numeric,8,6,0.75,7.0
shoppers,0.005,8,extension,categorical,8,2,0.25,4.0
shoppers,0.005,8,extension,mixed,8,7,0.875,7.0
shoppers,0.005,9,extension,numeric,8,6,0.75,4.0
shoppers,0.005,9,extension,categorical,0,0,,
shoppers,0.005,9,extension,mixed,8,3,0.375,3.0
shoppers,0.005,10,extension,numeric,8,8,1.0,8.0
shoppers,0.005,10,extension,categorical,0,0,,
shoppers,0.005,10,extension,mixed,8,4,0.5,4.0
