dataset,realized_band,arity_tier,modality_mix,n_accepted
shoppers,0.5-1%,extension,categorical,29
shoppers,0.5-1%,extension,mixed,35
shoppers,0.5-1%,extension,numeric,32
shoppers,0.5-1%,primary,categorical,44
shoppers,0.5-1%,primary,mixed,40
shoppers,0.5-1%,primary,numeric,26
shoppers,1-2%,extension,categorical,17
shoppers,1-2%,extension,mixed,31
shoppers,1-2%,extension,numeric,37
shoppers,1-2%,primary,categorical,37
shoppers,1-2%,primary,mixed,41
shoppers,1-2%,primary,numeric,32
shoppers,2-5%,extension,categorical,37
shoppers,2-5%,extension,mixed,48
shoppers,2-5%,extension,numeric,43
shoppers,2-5%,primary,categorical,57
shoppers,2-5%,primary,mixed,42
shoppers,2-5%,primary,numeric,51
shoppers,5-10%,extension,categorical,10
shoppers,5-10%,extension,mixed,36
shoppers,5-10%,extension,numeric,21
shoppers,5-10%,primary,categorical,48
shoppers,5-10%,primary,mixed,34
shoppers,5-10%,primary,numeric,26
shoppers,10-25%,extension,categorical,5
shoppers,10-25%,extension,mixed,39
shoppers,10-25%,extension,numeric,25
shoppers,10-25%,primary,categorical,66
shoppers,10-25%,primary,mixed,61
shoppers,10-25%,primary,numeric,35
shoppers,25-50%,extension,categorical,1
shoppers,25-50%,extension,mixed,16
shoppers,25-50%,extension,numeric,55
shoppers,25-50%,primary,categorical,31
shoppers,25-50%,primary,mixed,45
shoppers,25-50%,primary,numeric,58
